key,surah,ayah,word_count,raw_score,density_score,count_ح,count_خ,count_ع,count_ض
015083,15,83,3,30.0,10.0,2,1,0,0
069015,69,15,3,30.0,10.0,0,0,2,0
068030,68,30,5,46.0,9.2,0,0,3,2
026148,26,148,4,36.0,9.0,0,1,2,1
037127,37,127,3,27.0,9.0,1,0,0,1
055010,55,10,3,27.0,9.0,0,0,1,2
037050,37,50,5,44.0,8.8,0,0,3,2
023041,23,41,9,79.0,8.777778,2,1,2,0
015073,15,73,3,26.0,8.666667,1,1,0,0
037027,37,27,5,43.0,8.6,0,0,3,2
067011,67,11,5,43.0,8.6,2,0,2,0
011071,11,71,9,76.0,8.444444,3,0,1,1
073016,73,16,6,50.0,8.333333,0,2,2,0
056001,56,1,3,25.0,8.333333,0,0,2,0
087005,87,5,3,25.0,8.333333,1,0,1,0
054029,54,29,4,33.0,8.25,1,0,2,0
079029,79,29,4,33.0,8.25,1,1,0,1
026129,26,129,4,32.0,8.0,0,2,2,0
055007,55,7,4,32.0,8.0,0,0,2,1
037107,37,107,3,24.0,8.0,1,0,1,0
094002,94,2,3,24.0,8.0,0,0,2,1
094003,94,3,3,24.0,8.0,0,0,0,1
041013,41,13,9,70.0,7.777778,0,0,4,1
038084,38,84,4,31.0,7.75,2,0,0,0
043056,43,56,4,31.0,7.75,0,1,1,0
043067,43,67,7,54.0,7.714286,0,1,3,2
020106,20,106,3,23.0,7.666667,0,0,1,0
026157,26,157,3,23.0,7.666667,1,0,1,0
091011,91,11,3,23.0,7.666667,0,0,0,0
105005,105,5,3,23.0,7.666667,0,0,2,0
056073,56,73,5,38.0,7.6,1,0,2,0
038057,38,57,4,30.0,7.5,1,0,0,0
056075,56,75,4,30.0,7.5,0,0,1,0
088024,88,24,4,30.0,7.5,0,0,2,0
018100,18,100,5,37.0,7.4,0,0,2,2
004021,4,21,11,81.0,7.363636,0,2,2,3
026138,26,138,3,22.0,7.333333,1,0,1,0
026224,26,224,3,22.0,7.333333,0,0,2,0
088002,88,2,3,22.0,7.333333,0,1,1,0
091006,91,6,3,22.0,7.333333,1,0,0,1
099002,99,2,3,22.0,7.333333,0,1,0,1
099004,99,4,3,22.0,7.333333,1,1,0,0
074045,74,45,4,29.0,7.25,0,2,1,2
089025,89,25,5,36.0,7.2,1,0,2,0
003138,3,138,6,43.0,7.166667,0,0,1,0
019068,19,68,8,57.0,7.125,3,0,0,1
054042,54,42,7,49.0,7.0,0,2,1,0
029015,29,15,6,42.0,7.0,1,0,2,0
019094,19,94,4,28.0,7.0,1,0,2,0
087019,87,19,3,21.0,7.0,1,0,0,0
031024,31,24,7,48.0,6.857143,0,0,2,1
043003,43,3,6,41.0,6.833333,0,0,4,0
073013,73,13,5,34.0,6.8,0,0,2,0
016113,16,113,9,61.0,6.777778,0,1,1,0
015091,15,91,4,27.0,6.75,0,0,2,1
037048,37,48,4,27.0,6.75,0,0,2,0
053059,53,59,4,27.0,6.75,1,0,1,0
055012,55,12,4,27.0,6.75,2,0,1,0
074048,74,48,4,27.0,6.75,0,0,3,0
079031,79,31,4,27.0,6.75,0,1,1,0
