surah,ayah,text,word_count,letter_count,base_score,hard_letter_count,distinct_hard_letters,adjacency_bonus,hard_adjacent_count,same_group_count,emphatic_pair_count,tajweed_bonus,shadda_hard_count,madd_guttural_count,idgham_count,raw_score,density_score,density_per_letter
68,30,فَأَقْبَلَ بَعْضُهُمْ عَلَىٰ بَعْضٍ يَتَلَـٰوَمُونَ,5,23,33,7,"ض,ع,ق,ه",12,3,2,0,1,0,0,1,46,9.2,2.0
26,148,وَزُرُوعٍ وَنَخْلٍ طَلْعُهَا هَضِيمٌ,4,18,29,7,"خ,ض,ط,ع,ه",5,1,1,0,2,0,0,2,36,9.0,2.0
37,50,فَأَقْبَلَ بَعْضُهُمْ عَلَىٰ بَعْضٍ يَتَسَآءَلُونَ,5,24,36,8,"ء,ض,ع,ق,ه",6,3,0,0,2,0,1,1,44,8.8,1.833333
23,41,فَأَخَذَتْهُمُ ٱلصَّيْحَةُ بِٱلْحَقِّ فَجَعَلْنَـٰهُمْ غُثَآءً ۚ فَبُعْدًا لِّلْقَوْمِ ٱلظَّـٰلِمِينَ,9,46,57,15,"ء,ث,ح,خ,ذ,ص,ظ,ع,غ,ق,ه",16,2,4,0,6,3,2,1,79,8.777778,1.717391
37,27,وَأَقْبَلَ بَعْضُهُمْ عَلَىٰ بَعْضٍ يَتَسَآءَلُونَ,5,24,35,8,"ء,ض,ع,ق,ه",6,3,0,0,2,0,1,1,43,8.6,1.791667
67,11,فَٱعْتَرَفُوا۟ بِذَنۢبِهِمْ فَسُحْقًا لِّأَصْحَـٰبِ ٱلسَّعِيرِ,5,30,36,8,"ح,ذ,ص,ع,ق,ه",5,1,1,0,2,0,1,1,43,8.6,1.433333
11,71,وَٱمْرَأَتُهُۥ قَآئِمَةٌ فَضَحِكَتْ فَبَشَّرْنَـٰهَا بِإِسْحَـٰقَ وَمِن وَرَآءِ إِسْحَـٰقَ يَعْقُوبَ,9,45,50,12,"ء,ح,ض,ع,ق,ه",20,1,6,0,6,0,5,1,76,8.444444,1.688889
73,16,فَعَصَىٰ فِرْعَوْنُ ٱلرَّسُولَ فَأَخَذْنَـٰهُ أَخْذًا وَبِيلًا,6,30,35,8,"خ,ذ,ص,ع,ه",12,3,2,0,3,0,2,1,50,8.333333,1.666667
54,29,فَنَادَوْا۟ صَاحِبَهُمْ فَتَعَاطَىٰ فَعَقَرَ,4,22,29,7,"ح,ص,ط,ع,ق,ه",3,0,1,0,1,0,1,0,33,8.25,1.5
79,29,وَأَغْطَشَ لَيْلَهَا وَأَخْرَجَ ضُحَىٰهَا,4,20,28,7,"ح,خ,ض,ط,غ,ه",4,2,0,0,1,0,1,0,33,8.25,1.65
26,129,وَتَتَّخِذُونَ مَصَانِعَ لَعَلَّكُمْ تَخْلُدُونَ,4,23,27,6,"خ,ذ,ص,ع",5,1,1,0,0,0,0,0,32,8.0,1.391304
55,7,وَٱلسَّمَآءَ رَفَعَهَا وَوَضَعَ ٱلْمِيزَانَ,4,23,23,5,"ء,ض,ع,ه",8,1,2,0,1,0,1,0,32,8.0,1.391304
41,13,فَإِنْ أَعْرَضُوا۟ فَقُلْ أَنذَرْتُكُمْ صَـٰعِقَةً مِّثْلَ صَـٰعِقَةِ عَادٍ وَثَمُودَ,9,38,53,13,"ث,ذ,ص,ض,ع,ق",13,2,3,0,4,0,2,2,70,7.777778,1.842105
38,84,قَالَ فَٱلْحَقُّ وَٱلْحَقَّ أَقُولُ,4,17,23,6,"ح,ق",6,0,2,0,2,2,0,0,31,7.75,1.823529
43,56,فَجَعَلْنَـٰهُمْ سَلَفًا وَمَثَلًا لِّلْـَٔاخِرِينَ,4,23,19,4,"ث,خ,ع,ه",9,0,3,0,3,0,1,2,31,7.75,1.347826
43,67,ٱلْأَخِلَّآءُ يَوْمَئِذٍۭ بَعْضُهُمْ لِبَعْضٍ عَدُوٌّ إِلَّا ٱلْمُتَّقِينَ,7,34,42,10,"ء,خ,ذ,ض,ع,ق,ه",9,3,1,0,3,0,1,2,54,7.714286,1.588235
56,73,نَحْنُ جَعَلْنَـٰهَا تَذْكِرَةً وَمَتَـٰعًا لِّلْمُقْوِينَ,5,26,25,6,"ح,ذ,ع,ق,ه",9,0,3,0,4,0,2,2,38,7.6,1.461538
38,57,هَـٰذَا فَلْيَذُوقُوهُ حَمِيمٌ وَغَسَّاقٌ,4,20,26,8,"ح,ذ,غ,ق,ه",2,1,0,0,2,0,1,1,30,7.5,1.5
56,75,فَلَآ أُقْسِمُ بِمَوَٰقِعِ ٱلنُّجُومِ,4,18,14,3,"ع,ق",15,0,5,0,1,0,1,0,30,7.5,1.666667
88,24,فَيُعَذِّبُهُ ٱللَّهُ ٱلْعَذَابَ ٱلْأَكْبَرَ,4,22,22,6,"ذ,ع,ه",7,2,1,0,1,1,0,0,30,7.5,1.363636
18,100,وَعَرَضْنَا جَهَنَّمَ يَوْمَئِذٍ لِّلْكَـٰفِرِينَ عَرْضًا,5,26,30,6,"ذ,ض,ع,ه",6,0,2,0,1,0,0,1,37,7.4,1.423077
4,21,وَكَيْفَ تَأْخُذُونَهُۥ وَقَدْ أَفْضَىٰ بَعْضُكُمْ إِلَىٰ بَعْضٍ وَأَخَذْنَ مِنكُم مِّيثَـٰقًا غَلِيظًا,11,48,67,15,"ث,خ,ذ,ض,ظ,ع,غ,ق,ه",10,5,0,0,4,0,2,2,81,7.363636,1.6875
74,45,وَكُنَّا نَخُوضُ مَعَ ٱلْخَآئِضِينَ,4,18,28,5,"خ,ض,ع",0,0,0,0,1,0,1,0,29,7.25,1.611111
89,25,فَيَوْمَئِذٍ لَّا يُعَذِّبُ عَذَابَهُۥٓ أَحَدٌ,5,20,27,7,"ح,ذ,ع,ه",7,2,1,0,2,1,0,1,36,7.2,1.8
3,138,هَـٰذَا بَيَانٌ لِّلنَّاسِ وَهُدًى وَمَوْعِظَةٌ لِّلْمُتَّقِينَ,6,29,20,6,"ذ,ظ,ع,ق,ه",19,2,5,0,4,0,1,3,43,7.166667,1.482759
19,68,فَوَرَبِّكَ لَنَحْشُرَنَّهُمْ وَٱلشَّيَـٰطِينَ ثُمَّ لَنُحْضِرَنَّهُمْ حَوْلَ جَهَنَّمَ جِثِيًّا,8,42,42,10,"ث,ح,ض,ط,ه",14,1,4,0,1,0,1,0,57,7.125,1.357143
54,42,كَذَّبُوا۟ بِـَٔايَـٰتِنَا كُلِّهَا فَأَخَذْنَـٰهُمْ أَخْذَ عَزِيزٍ مُّقْتَدِرٍ,7,34,36,9,"خ,ذ,ع,ق,ه",10,2,2,0,3,1,1,1,49,7.0,1.441176
29,15,فَأَنجَيْنَـٰهُ وَأَصْحَـٰبَ ٱلسَّفِينَةِ وَجَعَلْنَـٰهَآ ءَايَةً لِّلْعَـٰلَمِينَ,6,37,29,7,"ء,ح,ص,ع,ه",8,1,2,0,5,0,4,1,42,7.0,1.135135
19,94,لَّقَدْ أَحْصَىٰهُمْ وَعَدَّهُمْ عَدًّا,4,17,25,7,"ح,ص,ع,ق,ه",2,1,0,0,1,0,1,0,28,7.0,1.647059
31,24,نُمَتِّعُهُمْ قَلِيلًا ثُمَّ نَضْطَرُّهُمْ إِلَىٰ عَذَابٍ غَلِيظٍ,7,30,39,11,"ث,ذ,ض,ط,ظ,ع,غ,ق,ه",7,2,1,0,2,0,0,2,48,6.857143,1.6
43,3,إِنَّا جَعَلْنَـٰهُ قُرْءَٰنًا عَرَبِيًّا لَّعَلَّكُمْ تَعْقِلُونَ,6,29,32,8,"ء,ع,ق,ه",6,0,2,0,3,0,1,2,41,6.833333,1.413793
73,13,وَطَعَامًا ذَا غُصَّةٍ وَعَذَابًا أَلِيمًا,5,22,25,7,"ذ,ص,ط,ع,غ",6,3,0,0,3,1,0,2,34,6.8,1.545455
16,113,وَلَقَدْ جَآءَهُمْ رَسُولٌ مِّنْهُمْ فَكَذَّبُوهُ فَأَخَذَهُمُ ٱلْعَذَابُ وَهُمْ ظَـٰلِمُونَ,9,43,43,13,"ء,خ,ذ,ظ,ع,ق,ه",15,3,3,0,3,1,1,1,61,6.777778,1.418605
15,91,ٱلَّذِينَ جَعَلُوا۟ ٱلْقُرْءَانَ عِضِينَ,4,21,25,6,"ء,ذ,ض,ع,ق",2,1,0,0,0,0,0,0,27,6.75,1.285714
37,48,وَعِندَهُمْ قَـٰصِرَٰتُ ٱلطَّرْفِ عِينٌ,4,18,22,6,"ص,ط,ع,ق,ه",2,1,0,0,3,1,2,0,27,6.75,1.5
53,59,أَفَمِنْ هَـٰذَا ٱلْحَدِيثِ تَعْجَبُونَ,4,19,20,5,"ث,ح,ذ,ع,ه",5,1,1,0,2,0,1,1,27,6.75,1.421053
55,12,وَٱلْحَبُّ ذُو ٱلْعَصْفِ وَٱلرَّيْحَانُ,4,20,22,5,"ح,ذ,ص,ع",5,1,1,0,0,0,0,0,27,6.75,1.35
74,48,فَمَا تَنفَعُهُمْ شَفَـٰعَةُ ٱلشَّـٰفِعِينَ,4,20,23,4,"ع,ه",3,0,1,0,1,0,1,0,27,6.75,1.35
79,31,أَخْرَجَ مِنْهَا مَآءَهَا وَمَرْعَىٰهَا,4,20,19,6,"ء,خ,ع,ه",6,0,2,0,2,0,2,0,27,6.75,1.35
69,10,فَعَصَوْا۟ رَسُولَ رَبِّهِمْ فَأَخَذَهُمْ أَخْذَةً رَّابِيَةً,6,28,31,8,"خ,ذ,ص,ع,ه",8,4,0,0,1,0,0,1,40,6.666667,1.428571
36,49,مَا يَنظُرُونَ إِلَّا صَيْحَةً وَٰحِدَةً تَأْخُذُهُمْ وَهُمْ يَخِصِّمُونَ,8,34,37,10,"ح,خ,ذ,ص,ظ,ه",12,3,2,0,4,1,1,2,53,6.625,1.558824
37,112,وَبَشَّرْنَـٰهُ بِإِسْحَـٰقَ نَبِيًّا مِّنَ ٱلصَّـٰلِحِينَ,5,24,20,5,"ح,ص,ق,ه",9,0,3,0,4,1,2,1,33,6.6,1.375
54,38,وَلَقَدْ صَبَّحَهُم بُكْرَةً عَذَابٌ مُّسْتَقِرٌّ,5,22,26,7,"ح,ذ,ص,ع,ق,ه",5,1,1,0,2,0,0,2,33,6.6,1.5
19,78,أَطَّلَعَ ٱلْغَيْبَ أَمِ ٱتَّخَذَ عِندَ ٱلرَّحْمَـٰنِ عَهْدًا,7,28,36,9,"ح,خ,ذ,ط,ع,غ,ه",8,1,2,0,2,1,1,0,46,6.571429,1.642857
29,37,فَكَذَّبُوهُ فَأَخَذَتْهُمُ ٱلرَّجْفَةُ فَأَصْبَحُوا۟ فِى دَارِهِمْ جَـٰثِمِينَ,7,38,36,9,"ث,ح,خ,ذ,ص,ه",8,1,2,0,2,1,1,0,46,6.571429,1.210526
17,22,لَّا تَجْعَلْ مَعَ ٱللَّهِ إِلَـٰهًا ءَاخَرَ فَتَقْعُدَ مَذْمُومًا مَّخْذُولًا,9,37,42,11,"ء,خ,ذ,ع,ق,ه",14,1,4,0,3,0,1,2,59,6.555556,1.594595
26,189,فَكَذَّبُوهُ فَأَخَذَهُمْ عَذَابُ يَوْمِ ٱلظُّلَّةِ ۚ إِنَّهُۥ كَانَ عَذَابَ يَوْمٍ عَظِيمٍ,11,41,50,13,"خ,ذ,ظ,ع,ه",19,5,3,0,3,2,0,1,72,6.545455,1.756098
2,73,فَقُلْنَا ٱضْرِبُوهُ بِبَعْضِهَا ۚ كَذَٰلِكَ يُحْىِ ٱللَّهُ ٱلْمَوْتَىٰ وَيُرِيكُمْ ءَايَـٰتِهِۦ لَعَلَّكُمْ تَعْقِلُونَ,12,56,56,14,"ء,ح,ذ,ض,ع,ق,ه",22,2,6,0,0,0,0,0,78,6.5,1.392857
47,37,إِن يَسْـَٔلْكُمُوهَا فَيُحْفِكُمْ تَبْخَلُوا۟ وَيُخْرِجْ أَضْغَـٰنَكُمْ,6,33,33,6,"ح,خ,ض,غ,ه",5,1,1,0,1,0,1,0,39,6.5,1.181818
68,4,وَإِنَّكَ لَعَلَىٰ خُلُقٍ عَظِيمٍ,4,15,23,5,"خ,ظ,ع,ق",2,1,0,0,1,0,0,1,26,6.5,1.733333
79,11,أَءِذَا كُنَّا عِظَـٰمًا نَّخِرَةً,4,15,20,5,"ء,خ,ذ,ظ,ع",4,2,0,0,2,0,1,1,26,6.5,1.733333
26,156,وَلَا تَمَسُّوهَا بِسُوٓءٍ فَيَأْخُذَكُمْ عَذَابُ يَوْمٍ عَظِيمٍ,7,31,33,8,"ء,خ,ذ,ظ,ع,ه",9,3,1,0,3,0,1,2,45,6.428571,1.451613
91,14,فَكَذَّبُوهُ فَعَقَرُوهَا فَدَمْدَمَ عَلَيْهِمْ رَبُّهُم بِذَنۢبِهِمْ فَسَوَّىٰهَا,7,39,37,11,"ذ,ع,ق,ه",6,0,2,0,2,1,1,0,45,6.428571,1.153846
89,18,وَلَا تَحَـٰٓضُّونَ عَلَىٰ طَعَامِ ٱلْمِسْكِينِ,5,22,26,5,"ح,ض,ط,ع",4,2,0,0,2,1,1,0,32,6.4,1.454545
3,34,ذُرِّيَّةًۢ بَعْضُهَا مِنۢ بَعْضٍ ۗ وَٱللَّهُ سَمِيعٌ عَلِيمٌ,8,27,40,9,"ذ,ض,ع,ه",9,3,1,0,2,0,0,2,51,6.375,1.888889
23,110,فَٱتَّخَذْتُمُوهُمْ سِخْرِيًّا حَتَّىٰٓ أَنسَوْكُمْ ذِكْرِى وَكُنتُم مِّنْهُمْ تَضْحَكُونَ,8,43,43,9,"ح,خ,ذ,ض,ه",7,2,1,0,1,0,0,1,51,6.375,1.186047
55,76,مُتَّكِـِٔينَ عَلَىٰ رَفْرَفٍ خُضْرٍ وَعَبْقَرِىٍّ حِسَانٍ,6,25,33,6,"ح,خ,ض,ع,ق",2,1,0,0,3,0,0,3,38,6.333333,1.52
76,14,وَدَانِيَةً عَلَيْهِمْ ظِلَـٰلُهَا وَذُلِّلَتْ قُطُوفُهَا تَذْلِيلًا,6,33,28,9,"ذ,ط,ظ,ع,ق,ه",8,1,2,0,2,0,1,1,38,6.333333,1.151515
37,10,إِلَّا مَنْ خَطِفَ ٱلْخَطْفَةَ فَأَتْبَعَهُۥ شِهَابٌ ثَاقِبٌ,7,28,35,9,"ث,خ,ط,ع,ق,ه",7,2,1,0,2,0,0,2,44,6.285714,1.571429
51,44,فَعَتَوْا۟ عَنْ أَمْرِ رَبِّهِمْ فَأَخَذَتْهُمُ ٱلصَّـٰعِقَةُ وَهُمْ يَنظُرُونَ,8,36,41,11,"خ,ذ,ص,ظ,ع,ق,ه",7,2,1,0,2,1,1,0,50,6.25,1.388889
7,119,فَغُلِبُوا۟ هُنَالِكَ وَٱنقَلَبُوا۟ صَـٰغِرِينَ,4,24,16,5,"ص,غ,ق,ه",8,1,2,0,1,0,1,0,25,6.25,1.041667
